Clave,Descripcion,PrecioPublico
10241,06723-1 PELICULA PLÁSCTICA PINTABLE 3.66 X 121.92 PIEZA,"1,069.66"
10242,6727-1 ROLLO PELICULA PLASTICA 3M 3.65 X 121.92 MTS PIEZA,"1,489.41"
10243,6727I-1 PELICULA PLASTICA PARA AUTOS 3.65 X 6.05 METR PIEZA,176.8
10244,6728-1 HOJA PROTECTORA 3M 4.86M X 106.58 M PIEZA,"1,665.43"
10246,36060-946 PULIDOR PERFECT-IT .946 LT .946,"1,285.83"
10247,36061-3780 *K PULIDOR PERFECT-IT EX GALON 3.780 LT 3.780,"4,333.25"
10248,36064-1 PERFECT IT 1 LITRO .946,730.65
10249,36065-3780 PERFECT IT 1 GALON 3.780,"2,609.79"
10250,DSC 6064-1 PERFECT IT 3000 REM. MARCAS CIRCULAR .946,590.34
10254,6069-1 PERFECT IT ULTRAFINA ELIMINADOR MARCAS  3.78L 3.780,"5,309.34"
10261,5971-1 PERFECT IT PULIDOR 225ML. .225,195.17
10262,5974-4 *K COMPUESTO PULIDOR PERFECT-IT II  3M GALON,"1,552.41"
10267,5990-1 IMPERIAL ABRILLANTADOR MANUAL 946 ML .946,"1,050.66"
10268,5993-1 REMOVEDOR DE MARCAS 30ML PARA UNA REPARACIÓN PIEZA,34.71
10269,5994-1 PERFECT IT REMOVEDOR DE MARCAS 225ML. .225,279.96
10275,5937-1 COMPUESTO PULIDOR PERFECT IT III MACHINE GLAZ LITRO,678.65
10280,5955-4 COMPUESTO PULIDOR SUPER DUTTY RUBBING 3M GALON,"2,021.46"
10286,100-603-1 BODYSCHUTZ 3M .900,643.09
10287,100603-SM-1 BODY SHUTZ 3M LITRO,643.09
10288,100603-SM-25 BODY SHUTZ 3M .250,198.48
10289,100603-SM-4 BODY SHUTZ 3M GALON,"2,019.10"
10290,100603-SM-50 BODY SHUTZ  3M .500,357.27
10292,5917-1 RECUBRIMIENTO PLATEADO EN AEROSOL 12.5 OZ. PIEZA,628.71
10295,8949-1 RECUBRIMIENTO ANTI-PIEDRA 70ML(ROCKER GARD) PIEZA,847.4
10297,31180-1 MASILLA PLATINUM PLUS 30 OZ - NUEVO PIEZA,824.24
10298,5096-1 MASILLA ACRILICA VERDE 409 GR SECADO RÁPIDO PIEZA,865.05
10312,3200-1 RESPIRADOR PARA MONO CARTUCHO PIEZA,205.1
10314,6200DD-1 MASCARILLA DE MEDIA CARA NUEVA 6200DD PIEZA,439.72
10315,8247-1 RESPIRADOR NIVELES MOLESTOS VAPORES ORGAN R95 PIEZA,103.38
10316,1990-1 RUEDA DE CORTE 76 X 1.6 PIEZA,120.46
10317,5792-1 RESPALDO MEDIA LUNA HOOKIT P/ LIJAR 3M 152MM PIEZA,295.28
10318,5837-1 CINTA FIBRA DE VIDRIO 13 PIEZA,580
10319,5838-1 TELA DE FIBRA DE VIDRIO PIEZA,153.68
10320,5885-1 ADHESIVO PARTES RIGIDAS CARTUC,"1,007.06"
10321,5887-1 ADHESIVO PARTES FLEXIBL CARTUC,"1,186.40"
10322,6500-1 SELLADOR ADHESIVO MARINO 5200 BLANCO 378 M PIEZA,604.28
10323,6504-1 SELLADOR ADHESIVO MARINO 5200 NEGRO 295ML. TUBO,604.28
10324,8271-1 ADHESIVO TRUCK LINE ADH- PIEZA,"2,231.94"
10325,8273-1 ADHESIVO AUTOMIX PARA FI PIEZA,"2,231.94"
10326,8275-1 ADHESIVO AUTOMIX PARTES PIEZA,"2,231.94"
10328,8571-1 PISTOLA MANUAL P/DURAMIX PIEZA,"3,980.05"
10329,MM400-1 PISTOLA MANUAL TRUCK LIN PIEZA,"5,691.81"
10330,08365-1 SELLADOR DE URETANO BEIGE 310ML PIEZA,278.79
10331,08367-1 SELLADOR DE URETANO NEGRO CARTUCHO 310ML PIEZA,318.62
10332,08368-1 SELLADOR URETANO BLANCO 310ML PIEZA,278.79
10333,600M-1 PISTOLA APLICADORA SELLADOR 600ML MANUAL PIEZA,"2,709.07"
10334,8369-1 SELLADOR MSP BLANCO PIEZA,"1,066.08"
10335,16000-1 PPS PIEZA A MENUDEO.1 LINER . PIEZA,37.66
10337,16001 RECIPIENTES MEZCLADORES PPS CAJA (2PZAS) 3M PIEZA,800
10338,16016-1 ADAPTADOR PPS NO. 9 PARA PISTOLAS ACCUSPRAY PIEZA,262
10341,16114-1 MINI CUPS LINER Y TAPA 177 ML PIEZA,31
10342,16114-50 PPS MINI CUP LINERS & TAPAS 177ML (CAJA C/50) P50,"1,550.00"
10344,6297-1 CINTA ESPUMA PROTECTORA PUERTAS Y CAJUELAS 3M ROLLO,"1,849.26"
10345,6839-4 PROTECTOR P/CABINA DE PINTURA 3M GALON,"1,886.24"
10346,6847-4 MASKING LIQUIDO 3M GALON,"1,520.26"
10348,5883-1 KIT DE REPARACION DE PARTES PLASTICAS RIGIDAS PIEZA,"1,550.33"
10349,5895-1 KIT REPARACION PARTES PLASTICAS 3M  CAJA PIEZA,"1,028.20"
10351,5907-1 PROMOTOR ADHESION P/PLASTICAS  452GRS AEROSOL PIEZA,979.47
10354,05612-1 RESPALDO MANUAL HOOKIT DE ESPONJA PARA TIRAS PIEZA,232.1
10355,"2069-1 DISCO  HOOKITÖII  TRIZACT CLEAR COAT 6"". 1500 PIEZA",40.59
10357,2085-1 DISCO HOOKIT TRIZACT 6PULG P3000 PIEZA,145.7
10358,"2088-1 DISCO  HOOKITÖ TRIZACT CLEAR COAT 6"", P1500 PIEZA",65.03
10359,30289-1 TIRA HOOKIT TRIZACT P5000 70 X 140 MM PIEZA,77.7
